years_since_last_eval,confidence_level,risk_tier
0.6680355920602327,3,Low
0.6680355920602327,3,Low
34.34907597535934,1,Critical
34.34907597535934,1,Critical
2.5051334702258727,3,Moderate
2.5051334702258727,3,Moderate
39.80013689253936,1,Critical
39.80013689253936,1,Critical
16.18069815195072,1,Critical
16.18069815195072,1,Critical
4.008213552361396,3,Low
4.008213552361396,3,Low
0.2108145106091718,2,Moderate
0.2108145106091718,2,Moderate
17.683778234086244,1,Critical
17.683778234086244,1,Critical
2.5489390828199863,3,Low
2.5489390828199863,3,Low
17.683778234086244,1,Critical
17.683778234086244,1,Critical
33.2539356605065,1,Critical
33.2539356605065,1,Critical
30.729637234770703,1,Critical
30.729637234770703,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
17.683778234086244,1,Critical
1.0677618069815196,3,Low
1.0677618069815196,3,Low
2.316221765913758,2,Moderate
2.316221765913758,2,Moderate
0.9609856262833676,3,Low
0.9609856262833676,3,Low
17.683778234086244,1,High
17.683778234086244,1,High
0.3477070499657768,3,Low
0.3477070499657768,3,Low
1.7248459958932238,2,Moderate
1.7248459958932238,2,Moderate
1.88911704312115,1,Low
1.88911704312115,1,Low
32.09856262833676,1,Critical
1.754962354551677,2,Moderate
1.754962354551677,2,Moderate
27.1813826146475,1,Critical
27.1813826146475,1,Critical
1.514031485284052,3,Low
1.514031485284052,3,Low
2.349075975359343,3,Low
2.349075975359343,3,Low
21.93018480492813,1,Critical
21.93018480492813,1,Critical
1.2457221081451062,3,Low
1.2457221081451062,3,Low
1.3388090349075976,3,Low
1.3388090349075976,3,Low
2.11088295687885,2,Moderate
2.11088295687885,2,Moderate
3.5290896646132786,2,Moderate
3.5290896646132786,2,Moderate
1.757700205338809,3,Low
1.757700205338809,3,Low
8.616016427104723,2,High
8.616016427104723,2,High
14.310746064339494,1,High
14.310746064339494,1,High
0.3230663928815879,3,Low
0.3230663928815879,3,Low
1.026694045174538,3,Low
1.026694045174538,3,Low
0.999315537303217,3,Low
0.999315537303217,3,Low
0.1806981519507187,3,Low
0.1806981519507187,3,Low
6.130047912388775,1,Moderate
6.130047912388775,1,Moderate
36.68446269678302,1,Critical
36.68446269678302,1,Critical
36.19986310746064,1,Critical
36.19986310746064,1,Critical
26.18206707734429,1,Critical
26.18206707734429,1,Critical
16.18069815195072,1,Critical
16.18069815195072,1,Critical
16.18069815195072,1,Critical
1.5550992470910336,3,Low
1.5550992470910336,3,Low
1.2566735112936345,2,Moderate
1.2566735112936345,2,Moderate
16.18069815195072,1,Critical
16.18069815195072,1,Critical
1.6317590691307324,1,Low
1.6317590691307324,1,Low
0.7802874743326489,3,Low
0.7802874743326489,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
2.316221765913758,2,Moderate
2.316221765913758,2,Moderate
0.7665982203969883,3,Low
0.7665982203969883,3,Low
1.4017796030116358,3,Low
1.4017796030116358,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.4948665297741273,3,Low
1.4948665297741273,3,Low
1.4948665297741273,3,Low
1.4948665297741273,3,Low
1.3415468856947297,3,Low
1.3415468856947297,3,Low
0.4982888432580424,3,Low
0.4982888432580424,3,Low
0.459958932238193,3,Low
0.459958932238193,3,Low
1.3990417522245038,3,Low
1.3990417522245038,3,Low
1.4017796030116358,3,Low
1.4017796030116358,3,Low
0.8870636550308009,3,Low
0.8870636550308009,3,Low
15.685147159479808,1,High
15.685147159479808,1,High
19.266255989048595,1,High
19.266255989048595,1,High
1.3990417522245038,3,Low
1.3990417522245038,3,Low
0.8870636550308009,3,Low
0.8870636550308009,3,Low
1.4948665297741273,3,Low
